,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
25,andyleeck,"Into Russell 1000 #GME may go! Then Russell 2000 index fund will have to close its #GME positions, shares lent out by index fund Russell 2000, &amp; ETFs that copy Russell 2000 has to be returned. But wait, aren’t those ETF shorted like 500%? What will happen? https://t.co/6PgJ4EDV8l",2021-06-09 06:28:51+00:00,11476,53,203,1337
26,rockstar_stocks,"Already seeing the tears over $amc going down, as if this wasn’t the perfect discount smh 🤦‍♂️

Let me cheer you up: If #amc gets into the #russell1000 June 25, big money is going to have to start buying #amcstock.
Plz share!
 #AMCSqueeze #AMCRussell1000 #AMCAPES #AMC100K #stocks https://t.co/58ToN8MISm",2021-06-08 15:23:04+00:00,40752,29,196,659
27,TOFIQFAZL,"$AMC inclusion in Russell 1000 , wil be good for the Stock , the news by itself will increase the price , as it will generate confidence for Investors and attract more Institutional money too .
#amcshortsqueeze ,#AMCtothemoon",2021-06-07 14:03:05+00:00,32495,11,170,711
28,ApesMakingCash,#Russell1000 $AMC Great news!! More buying pressure soon 👀,2021-06-07 11:02:59+00:00,6242,4,45,238
29,WilliamAston,"$AMC &amp; $GME, meet Russell 1000 🤝",2021-06-06 22:33:27+00:00,11446,30,173,1382
30,rockstar_stocks,"$AMC and $GME emergency video is up. GET READY TO GET F*CKING JACKED! Strong possibility #AMC and #GME get added to the prestigious Russell 1000!
#AMC500k #AMCARMY #AMCSTRONG #NakedShorts #NakedShorting 

https://t.co/c3GYNnhSa2",2021-06-06 21:36:33+00:00,40753,23,82,371
31,TOFIQFAZL,"$AMC is being shorted by the Shorts thinking that its  going into bankruptcy and its value should be zero , now its at $40 plus , it is now a respectable high cap stock given and being acknowledged as such by inclusion in the ranks of Russell1000 large cap index .
#AMC will fly",2021-06-06 21:05:23+00:00,32495,13,141,672
32,TOFIQFAZL,"$AMC latest news alert -- $AMC &amp; $GME are going to be shifted from the #Russell2000 small cap to the #Russell1000 large cap , probably by June 25 th , this is Huge News for $AMC . #AMCtothemoon , #AMCARMY",2021-06-06 20:54:46+00:00,32495,34,381,1437
33,Investingcom,"*GAMESTOP AND AMC TO BE ADDED TO RUSSELL 1000 IF MARKET CAP STAYS AT CURRENT LEVELS ON JUNE 25 - BBG

$GME $AMC https://t.co/DR65vRb5It",2021-06-06 17:55:24+00:00,593776,26,147,679
34,Katniss_Amc,"#AMC &amp; #GME could soon be included in the Russell 1000 index. We told you hedge funds from the beginning, we’re not going anywhere. Should’ve listened when you had the chance. 😎💎🦍 #AMC #GME #AMCARMY #AMC500k #NakedShorts https://t.co/eAkW2H5nmF",2021-06-06 17:41:55+00:00,22078,10,56,222
35,zerohedge,GameStop And AMC Could Soon Be In The Russell 1000 Index https://t.co/v9K70ME5lO,2021-06-06 17:30:44+00:00,1097418,36,85,435
36,UWMlending,We are happy to announce that $UWMC has been included in the preliminary list of IPO additions for the Russell 1000 and Russell 3000 indexes.,2021-03-02 14:55:06+00:00,6652,47,123,437
37,charliebilello,"Best Performing Stocks in the Russell 1000 last year...

1) Tesla $TSLA: +743%
2) Enphase Energy $ENPH: +572%
3) Peloton $PTON: +434%
4) Moderna $MRNA: +434%
5) Zoom $ZM: +396% https://t.co/t6xeWpKL8Z",2021-01-02 17:25:12+00:00,309740,12,112,382
